Fund,Department,BCL Code,BCL Name,BCL Purpose,2014 Expenditure Allowance 
Cumulative Reserve Subfund - Unrestricted Subaccount (00164),Department of Parks and Recreation,K72444,Building Component Renovations (00164-CIP),The purpose of the Building Component Renovations Budget Control Level (BCL) is to rehabilitate and replace Parks and Recreation's buildings and their components. This BCL is funded by CRS Unrestricted dollars (Fund 00164).,840000.00
Cumulative Reserve Subfund - Unrestricted Subaccount (00164),Department of Parks and Recreation,K72445,Ballfields/ Athletic Courts/ Play Areas (00164-CIP),"The purpose of the Ballfields/ Athletic Courts/ Play Areas Budget Control Level (BCL) is to provide for the rehabilitation and replacement of Parks and Recreation's ballfields, athletic courts, and play areas. This BCL is funded by REET II dollars (Fund 00164).)",305000.00
Cumulative Reserve Subfund - Unrestricted Subaccount (00164),Department of Parks and Recreation,K72447,Docks/ Piers/ Floats/ Seawalls/ Shorelines (00164- CIP),"The purpose of the Docks/ Piers/ Floats/ Seawalls/ Shorelines Budget Control Level (BCL) is to provide for the rehabilitation and replacement of Parks and Recreation's docks, piers, floats, seawalls and shorelines. This BCL is funded by CRS Unrestricted dollars (Fund 00164).",60000.00
Cumulative Reserve Subfund - Unrestricted Subaccount (00164),Department of Planning and Development,2UU50-TA,Tenant Relocation Assistance Program - CRS-UR,"The purpose of the Tenant Relocation Assistance Program - CRS- UR Budget Control Level is to allow the City to pay for relocation assistance to low-income tenants displaced by development activity, as authorized by SMC 22.210 and RCW 59.18.440. ",75678.00
Cumulative Reserve Subfund - Unrestricted Subaccount (00164),Seattle Center,S03P01,Campuswide Improvements and Repairs (00164-CIP),"The purpose of the Campuswide Improvements and Repairs Budget Control Level (BCL) is to provide for improvements throughout the Seattle Center campus, including lighting, signage, artwork maintenance, open space and hard surface repairs, accessibility improvements, and planning. This BCL is funded by CRS Unrestricted dollars (Fund 00164).",30000.00
Cumulative Reserve Subfund - Unrestricted Subaccount (00164),Seattle Center,S9403,Monorail Improvements (00164-CIP),"The purpose of the Monorail Improvements Budget Control Level (BCL) is to provide for the renovation of the Seattle Center Monorail, including the two trains, the two stations and the guideways that run in between. This BCL is funded by CRS Unrestricted dollars (Fund 00164).",1317000.00
Cumulative Reserve Subfund - Unrestricted Subaccount (00164),Seattle Center,S9902,Public Gathering Space Improvements (00164-CIP),"The purpose of the Public Gathering Space Improvements Budget Control Level (BCL) is to provide for major maintenance and improvements to meeting rooms, exhibition spaces, and public gathering spaces at Seattle Center. This BCL is funded by CRS Unrestricted dollars (Fund 00164).",90000.00
Cumulative Reserve Subfund - Unrestricted Subaccount (00164),Seattle Department of Transportation,CRS-U-SDOT,CRS-U Support to Transportation,The purpose of the CRS-U Support to Transportation Budget Control Level is to appropriate funds from CRS Unrestricted Sub-account to the Transportation Operating Fund to support specific capital programs and pay debt service on specified transportation projects.,3004500.00
Neighborhood Matching Subfund (00165),Department of Neighborhoods,2IN00,Neighborhood Matching Fund,"The purpose of the Neighborhood Matching Fund Budget Control Level is to support local grassroots projects within neighborhoods and communities. The Neighborhood Matching Fund provides funding to match community contributions of volunteer labor, donated professional services and materials, or cash, to implement community-basedself-help projects.",3292698.00
"Cumulative Reserve Subfund, Asset Preservation Subaccount - Fleets and Facilities (00168)",Department of Finance & Administrative Services,A1AP1,Asset Preservation - Civic Core (00168-CIP),The purpose of the Asset Preservation - Civic Core Budget Control Level (BCL) is to replace components of Civic Core buildings at the end of their useful lives. This BCL is funded by CRS Asset Preservation Subaccount - Fleets and Facilities dollars (Fund 00168).,800000.00
"Cumulative Reserve Subfund, Asset Preservation Subaccount - Fleets and Facilities (00168)",Department of Finance & Administrative Services,A1AP2,Asset Preservation - Seattle Municipal Tower (00168- CIP),The purpose of the Asset Preservation - Seattle Municipal Tower Budget Control Level (BCL) is to replace components of the Seattle Municipal Tower at the end of their useful lives. This BCL is funded by CRS Asset Preservation Subaccount - Fleets and Facilities dollars (Fund 00168).,1800000.00
"Cumulative Reserve Subfund, Asset Preservation Subaccount - Fleets and Facilities (00168)",Department of Finance & Administrative Services,A1AP4,Asset Preservation - Shops and Yards (00168-CIP),The purpose of the Asset Preservation - Shops and Yards Budget Control Level (BCL) is to replace components of shop and yard facilities at the end of their useful lives. This BCL is funded by CRS Asset Preservation Subaccount - Fleets and Facilities dollars (Fund 00168).,800000.00
"Cumulative Reserve Subfund, Asset Preservation Subaccount - Fleets and Facilities (00168)",Department of Finance & Administrative Services,A1AP6,Asset Preservation - Public Safety Facilities (00168- CIP),The purpose of the Asset Preservation - Public Safety Facilities Budget Control Level (BCL) is to replace components of public safety facilities at the end of their useful lives. This BCL is funded by CRS Asset Preservation Subaccount - Fleets and Facilities dollars (Fund 00168).,400000.00
Transit Benefit Subfund (00410),Department of Finance & Administrative Services,TRANSITB1,Transit Benefit,The purpose of the Transit Benefit Budget Control Level is to pay for the transit benefits offered to City employees. The Transit Benefit Subfund receives payments from Finance General and fee supported departments to pay for reduced cost King County Metro and Washington State Ferry transit passes and related administrative expenses.,5400000.00
Special Employment Program Subfund (00515),Personnel Department,NT000,Special Employment,"The purpose of the Special Employment Budget Control Level is to capture the expenditures associated with outside agency use of the City's temporary, intern, and work study programs. Outside agencies reimburse the City for costs. Expenses related to employees hired by City departments through the Special Employment Program are charged directly to the departments.",200000.00
Industrial Insurance Subfund (00516),Personnel Department,NR500,Industrial Insurance,"The purpose of the Industrial Insurance Budget Control Level is to provide for medical, wage replacement, pension and disability claims related to occupational injuries and illnesses, occupational medical monitoring, workplace safety programs, and related expenses. Since 1972, the City of Seattle has been a self-insured employer as authorized under state law. The Industrial Insurance Subfund receives payments from City departments to pay for these costs and related administrative expenses.",19171000.00
Unemployment Insurance Subfunds (00517),Personnel Department,NS000,Unemployment Insurance,The purpose of the Unemployment Insurance Budget Control Level is to provide the budget authority for the City to pay unemployment compensation expenses. The City is a self-insured employer with respect to unemployment insurance. The Unemployment Insurance Subfund contains the revenues and expenditures associated with the City's unemployment benefit costs for employees.,1001269.00
Health Care Subfund (00627),Personnel Department,NM000,Health Care,"The purpose of the Health Care Budget Control Level is to provide for the City's medical, dental, and vision insurance programs; the Flexible Spending Account; the Employee Assistance Program; and COBRA continuation coverage costs. The City is self-insured and re-insured for some medical plans, and carries insurance for other medical plans and for all dental and vision plans.",175209976.00
Group Term Life Insurance Subfund (00628),Personnel Department,NA000,Group Term Life,"The purpose of the Group Term Life Budget Control Level is to provide appropriation authority for the City's group term life insurance, long-term disability insurance, and accidental death and dismemberment insurance.",6234566.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K310C,"Swimming, Boating, and Aquatics","The purpose of the Swimming, Boating, and Aquatics Budget Control Level is to provide a variety of structured and unstructured water-related programs and classes so participants can enjoy and develop skills in a range of aquatic activities.",9448624.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K310D,Recreation Facilities and Programs,"The purpose of the Recreation Facilities and Programs Budget Control Level is to manage and staff the City's neighborhood community centers and Citywide recreation facilities and programs, which allow Seattle residents to enjoy a variety of social, athletic, cultural, and recreational activities.",23290127.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K320A,Facility and Structure Maintenance,The purpose of the Facility and Structure Maintenance Budget Control Level is to repair and maintain park buildings and infrastructure.,15200447.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K320B,"Park Cleaning, Landscaping, and Restoration","The purpose of the Park Cleaning, Landscaping, and Restoration Budget Control Level is to provide custodial, landscape, and forest maintenance and restoration services.",30537538.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K320C,Seattle Conservation Corps,"The purpose of the Seattle Conservation Corps Budget Control Level is to provide training, counseling, and employment to homeless and unemployed people with the goal that they acquire skills and experience leading to long-term employment and stability.",4051179.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K350A,Seattle Aquarium,"The purpose of the Seattle Aquarium Budget Control Level is to provide exhibits and environmental educational opportunities with the goal of expanding knowledge of, inspiring interest in, and encouraging stewardship of the aquatic wildlife and habitats of Puget Sound and the Pacific Northwest.",3460177.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K350B,Woodland Park Zoo,"The purpose of the Woodland Park Zoo Budget Control Level is to provide funds to contract with the non-profit Woodland Park Zoological Society to operate and manage the Woodland Park Zoo. This BCL includes the City's support for Zoo operations. The purpose of the Zoo is to provide care for animals and offer exhibits, educational programs, and visitor amenities so Seattle residents and visitors have the opportunity to enjoy and learn about animals and wildlife conservation.",6820029.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K370C,"Planning, Development, and Acquisition","The purpose of the Planning, Development, and Acquisition Budget Control Level (BCL) is to acquire, plan, design, and develop new park facilities, and make improvements to existing park facilities to benefit the public. This effort includes providing engineering and other technical services to solve maintenance and operational problems. This BCL also preserves open spaces through a combination of direct purchases, transfers, and consolidations of City-owned lands and resolution of property encroachment issues.",6193818.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K380A,Judgment and Claims,"The Judgment and Claims Budget Control Level pays for judgments, settlements, claims, and other eligible expenses associated with legal claims and suits against the City. Premiums are based on average percentage of Judgment/ Claims expenses incurred by the Department over the previous five years.",652212.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K390A,Finance and Administration,"The purpose of the Finance and Administration Budget Control Level is to provide the financial, technological, and business development support for the Department.",8247208.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K390B,Policy Direction and Leadership,The purpose of the Policy Direction and Leadership Budget Control Level is to provide policy guidance within the Department and outreach to the community on policies that have the goal of enabling the Department to offer outstanding parks and recreation opportunities to Seattle residents and our guests. It also provides leadership in establishing new partnerships or strengthening existing ones in order expand recreation services.,6944151.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K400A,Golf,"The purpose of the Golf Budget Control Level is to manage the City's four golf courses at Jackson, Jefferson, West Seattle, and Interbay to provide top-quality public golf courses that maximize earned revenues.",11173584.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K430A,Environmental Learning and Programs,"The purpose of the Environmental Learning and Programs Budget Control Level is to deliver and manage environmental stewardship programs and the City's environmental education centers at Discovery Park, Carkeek Park, Seward Park, and Camp Long. The programs are designed to encourage Seattle residents to take actions that respect the rights of all living things and environments, and to contribute to healthy and livable communities.",1648180.00
Park and Recreation Fund (10200),Department of Parks and Recreation,K430B,Natural Resources Management,"The purpose of the Natural Resources Management Budget Control Level is to provide centralized management for the living assets of the Department of Parks and Recreation. Direct management responsibilities include greenhouses, nurseries, the Volunteer Park Conservatory, landscape and urban forest restoration programs, sport field turf management, water conservation programs, pesticide reduction and wildlife management, and heavy equipment support for departmental operations and capital projects.",7170301.00
Transportation Operating Fund (10310),Seattle Department of Transportation,17002,Engineering Services,"The purpose of the Engineering Services Budget Control Level is to provide construction management for capital projects, engineering support for street vacations, the scoping of neighborhood projects, and other transportation activities requiring transportation engineering and project management expertise.",2155438.00
Transportation Operating Fund (10310),Seattle Department of Transportation,17003,Mobility-Operations,"The purpose of the Mobility-Operations Budget Control level is to promote the safe and efficient operation of all transportation modes in the city. This includes managing the parking, pedestrian, and bicycle infrastructure; implementing neighborhood plans; encouraging alternative modes of transportation; and maintaining and improving signals and the non-electrical transportation management infrastructure.",36371845.00
Transportation Operating Fund (10310),Seattle Department of Transportation,17004,ROW Management,"The purpose of the Right-of-Way (ROW) Management Budget Control Level is to review projects throughout the city for code compliance for uses of the right-of-way and to provide plan review, utility permit and street use permit issuance, and utility inspection and mapping services.",13623961.00
Transportation Operating Fund (10310),Seattle Department of Transportation,17005,Street Maintenance,The purpose of the Street Maintenance Budget Control Level is to maintain the city's roadways and sidewalks. ,23611175.00
Transportation Operating Fund (10310),Seattle Department of Transportation,17006,Urban Forestry,"The purpose of the Urban Forestry Budget Control Level is to administer, maintain, protect and expand the city's urban landscape in the street right-of-way through the maintenance and planting of new trees and landscaping to enhance the environment and aesthetics of the city. The Urban Forestry BCL maintains City-owned trees to improve the safety of the right-of-way for Seattle's residents and visitors.",4757205.00
Transportation Operating Fund (10310),Seattle Department of Transportation,18001,Department Management,The purpose of the Department Management Budget Control Level is to provide leadership and operations support services to accomplish the mission and goals of the department.,1233027.00
Transportation Operating Fund (10310),Seattle Department of Transportation,18002,General Expense,The purpose of the General Expense Budget Control Level is to account for certain City business expenses necessary to the overall delivery of transportation services. Money from all transportation funding sources is collected to pay for these indirect cost services. It also includes Judgment and Claims contributions and debt service payments.,34434728.00
Transportation Operating Fund (10310),Seattle Department of Transportation,19001,Major Maintenance/ Replacement,"The purpose of the Major Maintenance/ Replacement Budget Control Level is to provide maintenance and replacement of roads, trails, bike paths, bridges and structures.",50913999.00
Transportation Operating Fund (10310),Seattle Department of Transportation,19002,Major Projects,"The purpose of the Major Projects Budget Control Level is to design, manage and construct improvements to the transportation infrastructure for the benefit of the traveling public including freight, transit, other public agencies, pedestrians, bicyclists and motorists.",195968519.00
Transportation Operating Fund (10310),Seattle Department of Transportation,19003,Mobility-Capital,"The purpose of the Mobility-Capital Budget Control Level is to help maximize the movement of traffic throughout the city by enhancing all modes of transportation including corridor and intersection improvements, transit and HOV improvements, and sidewalk and pedestrian facilities.",21191999.00
Library Fund (10410),The Seattle Public Library,B1ADM,Administrative Services,The purpose of the Administrative Services Program is to support the delivery of library services to the public.,11404244.00
Library Fund (10410),The Seattle Public Library,B2CTL,City Librarian's Office,The purpose of the City Librarian's Office is to provide leadership for the Library in the implementation of policies and strategic directions set by the Library Board of Trustees.,1039300.00
Library Fund (10410),The Seattle Public Library,B3CTS,Information Technology,The purpose of Information Technology is to provide data processing infrastructure and services.,4907954.00
Library Fund (10410),The Seattle Public Library,B4PUB,Library Services,"The purpose of the Library Services Division is to provide services, materials, and programs that benefit and are valued by Library patrons. Library Services provides technical and collection services in order to provide information access and Library materials to all patrons.",46806382.00
Library Fund (10410),The Seattle Public Library,B5HRS,Human Resources,"The purpose of Human Resources is to provide responsive and equitable services, including human resources policy development, recruitment, classification and compensation, payroll, labor and employee relations, volunteer services, and staff training services.",1110902.00
Streetcar Fund (10810),Seattle Department of Transportation,STCAR-OPER,Streetcar Operations,The purpose of the Streetcar Operations Budget Control Level is to operate and maintain the South Lake Union line of the Seattle Streetcar.,5736749.00
Pike Place Levy (11010),Executive,PKLVYBCL-02,Pike Place Market Renovation Debt Service,The purpose of the Pike Place Market Renovation Debt Service Budget Control Level is to pay debt service for debt issued in support of the Pike Place Market Renovation funded by levy proceeds.,8951750.00
Seattle Center Fund (11410),Seattle Center,SC600,Campus Grounds,"The purpose of the Campus Grounds Budget Control Level is to provide gathering spaces and open-air venues in the City's urban core. Program services include landscape maintenance, security patrols and lighting, litter and garbage removal, recycling operations, hard surface and site amenities maintenance, and management of revenues associated with leasing outdoor spaces.",12045194.00
Seattle Center Fund (11410),Seattle Center,SC610,Festivals,"The purpose of the Festivals Budget Control Level is to provide a place for the community to hold major festival celebrations. This program includes the revenue and expenses related to the Giant Magnet, Northwest Folklife Festival, Bite of Seattle, and Bumbershoot events.",1505509.00
Seattle Center Fund (11410),Seattle Center,SC620,Community Programs,"The purpose of the Community Programs Budget Control Level is to produce free and low-cost programs that connect diverse cultures, create learning opportunities, honor community traditions, and nurture artistry and creativity.",2078338.00
Seattle Center Fund (11410),Seattle Center,SC630,Cultural Facilities,"The purpose of the Cultural Facilities Budget Control Level is to provide spaces for performing arts and cultural organizations to exhibit, perform, entertain, and create learning opportunities for diverse local, national, and international audiences.",229145.00
Seattle Center Fund (11410),Seattle Center,SC640,Commercial Events,"The purpose of the Commercial Events Budget Control Level is to provide the spaces and services needed to host a wide variety of commercial events, both for profit and not for profit, sponsored and produced by private and community promoters.",946293.00
Seattle Center Fund (11410),Seattle Center,SC650,McCaw Hall,"The McCaw Hall Budget Control Level includes funds for the operation and maintenance of the McCaw Hall. In cooperation with Seattle Opera and Pacific Northwest Ballet, Seattle Center manages and operates McCaw Hall as the home of the Opera and Ballet. The Seattle International Film Festival also holds its annual festival and many other film screenings in this facility.",4207416.00
Seattle Center Fund (11410),Seattle Center,SC660,KeyArena,"The purpose of the KeyArena Budget Control Level is to manage and operate the KeyArena. Included in this category are all operations related to sports teams playing in the arena, along with concerts, family shows, and private meetings.",6613284.00
Seattle Center Fund (11410),Seattle Center,SC670,Access,"The purpose of the Access Budget Control Level is to provide the services needed to assist visitors in coming to and traveling from the campus, while reducing congestion in adjoining neighborhoods. Program services include operating parking services, maintaining parking garages, managing the Seattle Center Monorail, and encouraging use of alternate modes of transportation.",1249106.00
Seattle Center Fund (11410),Seattle Center,SC680,Debt,The purpose of the Debt Budget Control Level is to provide payments and collect associated revenues related to the debt service for McCaw Hall.,126450.00
Seattle Center Fund (11410),Seattle Center,SC690,Administration-SC,"The purpose of the Administration Budget Control Level is to provide the financial, human resource, technology, and business support necessary for delivery of the department's services. Program services include administrative oversight and support to all other department programs, financial management of the Department's operating funds, and management of the department's Capital Improvement Program.",7170262.00
Seattle Center Fund (11410),Seattle Center,SC710,Judgment and Claims,"The Judgment/ Claims Budget Control Level pays for judgments, settlements, claims, and other eligible expenses associated with legal claims and suits against the City. Premiums are based on average percentage of Judgment/ Claims expenses incurred by the Department over the previous five years.",702856.00
Planning and Development Fund (15700),Department of Planning and Development,U2200,Land Use Services,"The purpose of the Land Use Services Budget Control Level is to provide land use permitting services to project applicants, City of Seattle departments, public agencies, and residents. These services are intended to allow development proposals to be reviewed in a fair, reasonable, efficient, and predictable manner, and substantially comply with applicable codes, legal requirements, policies, and community design standards. Additionally, this budget control level includes the allocation of a proportionate share of departmental administration and other overhead costs.",4851923.00
Planning and Development Fund (15700),Department of Planning and Development,U2300,Construction Permit Services,"The purpose of the Construction Permit Services Budget Control Level is to facilitate the review of development plans and processing of permits so that applicants can plan, alter, construct, occupy, and maintain Seattle's buildings and property. Additionally, this budget control level includes the allocation of a proportionate share of departmental administration and other overhead costs.",19928691.00
Planning and Development Fund (15700),Department of Planning and Development,U23A0,Construction Inspections,"The purpose of the Construction Inspections Budget Control Level is to provide on-site inspections of property under development to support substantial compliance with applicable City codes, ordinances, and approved plans. Additionally, this budget control level includes the allocation of a proportionate share of departmental administration and other overhead costs.",14547159.00
Planning and Development Fund (15700),Department of Planning and Development,U2400,Code Compliance,"The purpose of the Code Compliance Budget Control Level is to see that properties and buildings are used and maintained in conformance with code standards, and deterioration of structures and properties is reduced. Additionally, this budget control level includes the allocation of a proportionate share of departmental administration and other overhead costs.",4849027.00
Planning and Development Fund (15700),Department of Planning and Development,U24A0,Annual Certification and Inspection,"The purpose of the Annual Certification and Inspection Budget Control Level is to provide inspections of mechanical equipment at installation and on an annual or biennial cycle. These services are provided so mechanical equipment is substantially maintained to applicable codes, legal requirements and policies, and operated safely. The program also certifies that installers and mechanics are qualified, by validation of work experience and testing of code knowledge, to operate and maintain mechanical equipment. In addition, this budget control level includes a proportionate share of associated departmental administration and other overhead costs.",4159482.00
Planning and Development Fund (15700),Department of Planning and Development,U2800,Process Improvements and Technology,"The purpose of the Process Improvements and Technology Budget Control Level is to allow the department to plan and implement continuous improvements to its business processes, including related staff training and equipment purchases; and to see that the Department's major technology investments are maintained, upgraded, or replaced when necessary.",2095009.00
2014 Multipurpose LTGO Bond Fund,Department of Finance & Administrative Services,A1PS1,Public Safety Facilities - Police (35800-CIP),"The purpose of the Public Safety Facilities - Police Budget Control Level (BCL) is to renovate, expand, replace, or build police facilities. This BCL is funded by a 2014 bond issue (Fund 35800).",11400000.00
Planning and Development Fund (15700),Department of Planning and Development,U2900,Planning,"The purpose of the Planning Budget Control Level is to manage growth and development consistent with Seattle's Comprehensive Plan, and to inform and guide decisions related to the Plan. Additionally, the Planning Budget Control Level includes the allocation of a proportionate share of departmental administration and other overhead costs.",6416007.00
2011 Families and Education Levy (17857),Department of Neighborhoods,IL202,Elementary School Academic Achievement,The purpose of the Elementary School Academic Achievement Budget Control Level is to improve Seattle's elementary school-aged children's ability to achieve academically by investing in quality academic support programs.,5759322.00
Human Services Operating Fund (16200),Human Services Department,H20YF,Youth and Family Empowerment,"The purpose of the Youth and Family Empowerment Budget Control Level is to provide children, youth and families with the skills, knowledge, and support they need to live healthy and productive lives, including access to affordable, culturally relevant, high-quality child care and pre-school education, out-of-school time activities, nutrition assistance, and programs designed to help youth succeed academically, learn job and life skills, and develop alternatives to criminal activity, violence, and homelessness.",21021969.00
Human Services Operating Fund (16200),Human Services Department,H30ET,Transitional Living and Support,"The purpose of the Transitional Living and Support Budget Control Level (formerly Emergency and Transitional Services) is to provide resources and services to Seattle's low-income and homeless residents, work to prevent and end homelessness, and reduce hunger by funding shelter, housing, food and meal programs for individuals and families with very low-incomes.",30380335.00
Human Services Operating Fund (16200),Human Services Department,H50LA,Leadership and Administration,"The purpose of the Leadership and Administration Budget Control Level is to provide leadership and support to the Human Services Department, the City of Seattle, and the community, with the goal of seeing that human services are responsive to community needs, are delivered through effective and accountable systems, economic disparity is decreased, and racism and other oppressions are dismantled.",9232199.00
Human Services Operating Fund (16200),Human Services Department,H60AD,Aging and Disability Services - Area Agency on Aging,"The purpose of the Aging and Disability Services - Area Agency on Aging Budget Control Level is to provide a network of community support that improves choice, promotes independence, and enhances the quality of life for older people and adults with disabilities. ",36333735.00
Human Services Operating Fund (16200),Human Services Department,H70PH,Public Health Services,"The purpose of the Public Health Services Budget Control Level is to provide funds for the following public health services and programs: primary care medical, dental, and specialty services, and access to health insurance for at-risk and vulnerable populations; health care for teens in Seattle's public schools; health care for homeless individuals and families; HIV/ AIDS prevention and care programs; programs to provide access to chemical and dependency services; programs to reduce the disparities in health among the Seattle population; and public health nursing care home visits to give mothers and babies a healthy start in life. ",13608754.00
Human Services Operating Fund (16200),Human Services Department,H90CS,Community Support and Self Sufficiency,"The purpose of the Community Support and Self-Sufficiency Budget Control Level (BCL) is to provide Seattle families with nutrition assistance, citizenship assistance, access to public benefits, and other family support resources so that families can maintain or achieve economic self-sufficiency and children will gain the necessary skills and assets to be healthy, successful in school, and contributing members of the community. The BCL also supports the City's response to domestic violence and sexual assault prevention programs.",11105623.00
Low-Income Housing Fund (16400),Executive,XZ-R1,Low-Income Housing Fund 16400,"The purpose of the Low-Income Housing Fund 16400 Budget Control Level is to fund multifamily housing production, and to support homeownership and sustainability.",43092788.00
Office of Housing (16600),Executive,XZ600,Office of Housing Operating Fund 16600,The purpose of the Office of Housing Operating Fund 16600 Budget Control Level is to fund the Department's administration activities.,4900613.00
Community Development Block Grant Fund,Department of Parks and Recreation,K72441,Parks Infrastructure (17810-CIP),"The purpose of the Parks Infrastructure Budget Control Level (BCL) is to provide for the rehabilitation, replacement and addition of Parks infrastructure. This BCL is funded by Community Development Block Grant dollars (Fund 17810).",808000.00
Community Development Block Grant Fund,Department of Parks and Recreation,K72444,Building Component Renovations (17810-CIP),"The purpose of the Building Component Renovations Budget Control Level (BCL) is to rehabilitate and replace Parks and Recreation's buildings and their components. For 2014, Federal Community Development Block Grant funds are partly funding programs within this BCL.",732000.00
Community Development Block Grant Fund,Executive,6XD10,CDBG - Office of Economic Development,"The purpose of the Community Development Block Grant (CDBG) - Office of Economic Development Budget Control Level is to provide operating, grant, loan, and project management support to neighborhood business districts and community-based development organizations, as well as for special projects, for the goal of creating thriving neighborhoods and broadly-shared prosperity.",1208675.00
Community Development Block Grant Fund,Executive,6XZ10,CDBG - Office of Housing,The purpose of the Community Development Block Grant (CDBG) - Office of Housing Budget Control Level is to provide opportunities for residents to thrive by investing in and promoting the development and preservation of affordable housing.,1959680.00
Community Development Block Grant Fund,Human Services Department,6HSD10,CDBG - Human Services Department,The purpose of the Community Development Block Grant (CDBG) - Human Services Department Budget Control Level is to find and fund solutions for human needs to assist low-income and vulnerable residents in greater Seattle to live and thrive.,5291088.00
2014 Multipurpose LTGO Bond Fund,Department of Finance & Administrative Services,A1IT,Information Technology (35800-CIP),"The purpose of the Information Technology Budget Control Level (BCL) is to replace, upgrade or maintain FAS information technology systems to meet the evolving enterprise activities of the City. This BCL is funded by 2013 LTGO bond Dollars (Fund 35800).",7038000.00
2011 Families and Education Levy (17857),Department of Neighborhoods,IL102,Early Learning and School Readiness,"The purpose of the Early Learning and School Readiness Budget Control Level is to help children enter Seattle's schools ready to learn by increasing access for low-income families to higher quality and more extensive educational child care, and expanding the number of current early childhood education programs.",7249027.00
2011 Families and Education Levy (17857),Department of Neighborhoods,IL302,Middle School Academic Achievement and College/ Career Preparation,"The purpose of the Middle School Academic Achievement and College/ Career Preparation Budget Control Level is improve Seattle's middle school-aged children's ability to achieve academically, complete school, and be prepared for college and/ or careers after high school by investing in quality academic support programs.",5656949.00
2011 Families and Education Levy (17857),Department of Neighborhoods,IL402,High School Academic Achievement and College/ Career Preparation,"The purpose of the High School Academic Achievement and College/ Career Preparation Budget Control Level is to improve Seattle's high school-aged children's ability to achieve academically, complete school, and be prepared for college and/ or careers after high school by investing in quality academic support programs.",2605102.00
2011 Families and Education Levy (17857),Department of Neighborhoods,IL502,Student Health,"The purpose of the Student Health Budget Control Level is to reduce health-related barriers to learning so that students can achieve academically, complete school, and be prepared for college and/ or careers after high school by investing in school-based health programs located at Seattle Public Schools.",6187471.00
2011 Families and Education Levy (17857),Department of Neighborhoods,IL702,Administration and Evaluation,"The purpose of the Administration Budget Control is to monitor that funds are used to achieve the Levy's goals of school readiness, academic achievement, reduced dropout rates and increased graduation rates, and student preparedness for college and/ or careers after high school. Evaluation is not included for 2012.",1482823.00
2012 Library Levy Fund (18100),The Seattle Public Library,B301111,Library Major Maintenance (18100-CIP),"The purpose of the Library Major Maintenance Budget Control Level is to provide major maintenance to Library facilities, which include the Central Library and all branch libraries, to help provide for building integrity and improve functionality for patrons and staff. This BCL is funded by Library Levy dollars (Fund 18100).",3056000.00
2012 Library Levy Fund (18100),The Seattle Public Library,B9TRF,Library Levy Operating Transfer,The purpose of the Library Levy Operating Transfer Budget Control Level is to transfer funds to the Library Fund (10410) for library operations. This BCL is funded by Library Levy dollars (Fund 18100).,12658704.00
Bond Interest and Redemption,Department of Finance & Administrative Services,DEBTBIRF,Bond Interest and Redemption,The purpose of the Bond Interest and Redemption Budget Control Level is to make certain debt service payments through the Bond Interest and Redemption Fund (BIRF).,1521014.00
UTGO Bond Interest and Redemption Fund,Department of Finance & Administrative Services,DEBTUTGO,UTGO Debt Service,The purpose of the UTGO Debt Service Budget Control Level is to create the legal appropriations to pay debt service on outstanding Unlimited Tax General Obligation (UTGO) Bonds.,14799344.00
2008 Parks Levy Fund,Department of Parks and Recreation,K720010,2008 Parks Levy- Neighborhood Park Acquisition (33860- CIP),The purpose of the 2008 Parks Levy- Neighborhood Park Acquisition Budget Control Level (BCL) is to provide for neighborhood park acquisitions identified in the 2008 Parks Levy. This BCL is funded by the 2008 Parks Levy Fund (33860).,300000.00
2008 Parks Levy Fund,Department of Parks and Recreation,K720011,2008 Parks Levy- Green Space Acquisition (33860- CIP),The purpose of the 2008 Parks Levy - Green Space Acquisitions Budget Control Level (BCL) is to provide for green space park acquisitions identified in the 2008 Parks Levy. This BCL is funded by the 2008 Parks Levy Fund (Fund 33860).,95000.00
2008 Parks Levy Fund,Department of Parks and Recreation,K720020,2008 Parks Levy- Neighborhood Parks and Playgrounds (33860- CIP),The purpose of the 2008 Parks Levy - Neighborhood Parks and Playgrounds Budget Control Level (BCL) is to improve and address safety issues at playgrounds throughout the city identified in the 2008 Parks Levy. This BCL is funded by the 2008 Parks Levy Fund (33860).,5700000.00
2008 Parks Levy Fund,Department of Parks and Recreation,K720030,2008 Parks Levy- Forest & Stream Restoration (33860- CIP),The purpose of the 2008 Parks Levy - Forest & Stream Restoration Budget Control Level is to re-establish healthy urban forests on City-owned property. This BCL is funded by the 2008 Parks Levy Fund (Fund 33860).,426000.00
